KnessetNum,FactionID,FactionName,CoalitionStatus
15,10.0,יהדות התורה,
15,3.0,ישראל אחת,
15,11.0,ישראל בעלייה,
15,685.0,לב,
15,9.0,מפלגה דתית לאומית,
15,18.0,מפלגה לאומית ערבית,
15,15.0,מפלגת המרכז,
15,6.0,מרצ,
15,19.0,עם אחד,
15,16.0,"רע""ם",
15,5.0,"ש""ס",
15,8.0,שינוי,
14,1034.0,אגודת ישראל,
14,657.0,ברית לאומית דמוקרטית,
14,635.0,גשר,
14,625.0,דגל התורה,
14,633.0,הדרך השלישית,
14,613.0,הליכוד,
14,619.0,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",
14,1035.0,"חה""כ דוד צוקר",
14,1036.0,"חה""כ עמנואל זיסמן",
14,643.0,חזית דמוקרטית לשלום ושוויון,
14,647.0,חרות - התנועה הלאומית,
14,631.0,יהדות התורה,
14,649.0,ישראל במרכז,
14,639.0,ישראל בעלייה,
14,637.0,ליכוד - גשר - צומת,
14,641.0,"מד""ע - רע""ם",
14,627.0,מולדת,
14,615.0,מפלגה דתית לאומית,
14,611.0,מפלגת העבודה הישראלית,
14,629.0,מרצ,
14,651.0,"עלי""ה - עמנו למען ישראל המתחדשת",
14,665.0,עם אחד,
14,623.0,צומת,
14,667.0,שינוי,
14,661.0,תקומה,
13,1028.0,אגודת ישראל,
13,601.0,גשר,
13,1029.0,דגל התורה,
13,599.0,הדרך השלישית,
13,573.0,הליכוד,
13,577.0,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",
13,1030.0,"חה""כ אפרים גור",
13,1031.0,"חה""כ יוסף בא-גד",
13,1032.0,"חה""כ יוסף עזרן",
13,1033.0,"חה""כ נאוה ארד",
13,609.0,חזית דמוקרטית לשלום ושוויון,
13,589.0,יהדות התורה,
13,595.0,ימין ישראל,
13,593.0,יעוד,
13,583.0,"מד""ע - מפלגה דמוקרטית ערבית",
13,585.0,מולדת,
13,575.0,מפלגה דתית לאומית,
13,571.0,מפלגת העבודה הישראלית,
13,587.0,מרצ,
13,597.0,עתיד,
13,581.0,צומת,
12,537.0,אגודת ישראל,
12,559.0,גאולת ישראל,
12,547.0,דגל התורה,
12,523.0,הליכוד,
12,539.0,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",
12,567.0,חזית דמוקרטית לשלום ושוויון,
12,545.0,"מד""ע - מפלגה דמוקרטית ערבית",
12,549.0,מולדת,
12,527.0,מפלגה דתית לאומית,
12,551.0,מפלגה ליברלית חדשה,
12,521.0,מפלגת העבודה הישראלית,
12,561.0,מרצ,
12,555.0,פנתרים שחורים,
12,543.0,צומת,
12,529.0,רשימה מתקדמת לשלום,
12,531.0,תחייה,
9,409.0,אגודת ישראל,
9,397.0,הליכוד,
9,435.0,חזית דמוקרטית לשלום ושוויון,
9,431.0,מערך,
9,429.0,פועלי אגודת ישראל,
8,355.0,הליכוד,
8,375.0,מערך,
7,325.0,גוש חרות ליברלים,
7,345.0,מוקד,
7,351.0,רשימה קומוניסטית חדשה,
5,255.0,גוש חרות ליברלים,
4,221.0,תנועת החרות,
3,980.0,אגודת ישראל - פועלי אגודת ישראל,
3,203.0,אחדות העבודה - פועלי ציון,
3,981.0,מפלגה דתית לאומית,
3,205.0,מפלגה קומוניסטית ישראלית,
3,185.0,מפלגת פועלים מאוחדת,
3,195.0,ציונים כלליים,
3,193.0,תנועת החרות,
2,163.0,אחדות העבודה - פועלי ציון,
2,161.0,מפלגה פרוגרסיבית,
2,167.0,מפלגה קומוניסטית ישראלית,
2,155.0,ציונים כלליים,
2,153.0,תנועת החרות,
1,131.0,חזית דתית מאוחדת,
1,123.0,מפלגה פרוגרסיבית,
1,129.0,מפלגה קומוניסטית ישראלית,
1,109.0,מפלגת פועלי ארץ-ישראל,
1,105.0,מפלגת פועלים מאוחדת,
1,119.0,ספרדים ועדות מזרח,
1,117.0,ציונים כלליים,
1,115.0,תנועת החרות,
